Celebrate today by adopting one of the great pets we have available! Happy #NationalPetDay ???????????????? http://t.co/zGFyki5FeD,positive,99
Happy #NationalPetDay ???? ????????????????????????????????????????????????????????????????,positive,93
RT @SmashleyMMA: #NationalPetDay Love all my #rescue pets http://t.co/3W0IlSEJ9E,positive,91
RT @LoveMyKittyo: Happy #NationalPetDay from Pasha and Team Kittyo http://t.co/VYbTOqkv96,positive,94
RT @april64locke: @IAmJohnSparks Boots is our rescue dog! He's Luccinda's best friend! Gotta love that face! #NationalPetDay http://t.co/P…,positive,100
RT @TheDailyEdge: Wow. Have you seen the pictures Koch Industries tweeted for #NationalPetDay? http://t.co/S1xMejJJfi,positive,56
April 11 is #NationalPetDay in the USA - but we #Canadians love our pets too! Share a pic of your pet!,positive,93
RT @DeeHogan12: #NationalPetDay family pets are STOLEN in China for dog meat RT #StopYulin2015 help via http://t.co/9H1ghEH5Aw http://t.c…,neutral,90
#NationalPetDay one of my cats ???? http://t.co/hkOtFhrq9S,neutral,86
RT @spacemanatee: Happy #NationalPetDay .@SunnyPeterBuns! #friendsnotfood http://t.co/PC2oNw1x37,positive,90
Happy #NationalPetDay #DaisyMartelli ???????????? https://t.co/3Sks91tmvg,positive,73
Happy #NationalPetDay ???????????? http://t.co/I0djv0sZb9,positive,73
"#JRNation, is your pet sporting @DaleJr gear on #NationalPetDay? Post a photo, tag us & we will RT our favorites! http://t.co/9cOzzh1SIA",neutral,81
apparently it is national pet day so obviously... #NationalPetDay http://t.co/U8LXMVyPGC,neutral,85
#nationalpetday is the perfect day to try the #bestfriendskneestand challenge to help #homelesspets and #savethemall http://t.co/FzHjnVKX8q,positive,55
@IAmJohnSparks #NationalPetDay Snuggles from my Chase :) http://t.co/kUUbbCdXHE,neutral,96
"@PetSmartChariTs Happy #NationalPetDay from my girl, Pandy! (️️Adopted at a PetSmart event - November 2011) http://t.co/MkXkKNvL8D",positive,82
In honor of national pet day. #nestgiftsdecor #alpharetta #miltonga #awesomealpharetta #roswell #NationalPetDay http://t.co/ULEXU8UAdp,neutral,95
MY BEST FRIENDS #NationalPetDay http://t.co/nP2cSnOYBR,positive,92
RT @WWJ950: Happy #NationalPetDay! Survey Reveals Most Popular Pet Names In #Detroit And Across #Michigan http://t.co/r7DzGdbjrE,positive,98
"RT @DScottwrites: ""Be kind to every kind not just mankind."" - A.D. Williams #NationalPetDay http://t.co/KNBIW5Greq",neutral,92
RT @djmagcanada: Turn your dog into a rave hound with this new LED vest #nationalpetdayhttp://t.co/mmQfw96QKR http://t.co/rJxpk9rjM1,neutral,90
"RT @NEHumaneSociety: Celebrate #NationalPetDay by giving your pets extra treats, hugs, an extended walk & tweeting us a photo of your pet o…",positive,69
So glad Pudgy Swearengin came into our lives 3 yrs ago. Thanks @CCSPCAFresno! #NationalPetDay http://t.co/CeErUg27fi,neutral,77
AnimalPlanet: What does #NationalPetDay mean to you? Hear what JacksonGalaxy has to say about the holiday.https://t.co/KrWSJeccWO,neutral,88
Happy national pet day to this bitch???????? lol #nationalpetday https://t.co/bBEy88cUe2,positive,98
"It's #NationalPetDay! Here's one of our office pups, 'Bo!' #lookatthatface #treatyourdogtheplatoway… https://t.co/K0hsfcbpBm",neutral,90
Embrace your pet and share your pet photos with us! Happy National Pet Day! #nationalpetday #petlove http://t.co/1SUbfqPENP,positive,82
The first ever pic of the full Indy Homeschool menagerie for #NationalPetDay! http://t.co/eNkmq4eI5m,neutral,85
RT @DScottwrites: “People talk to pets and babies to stop themselves going mad.” -James Smythe #NationalPetDay #dogs #babies #pets http://t…,neutral,76
Oreo is excited for his treat- a bowl of milk. #NationalPetDay https://t.co/Ff1GehY4c2,positive,96
Happy National Pet Day! #nationalpetday http://t.co/1a0vJ3Y5JB http://t.co/emcBqb77V8,positive,85
"Pet Plot: @peta: 'It's #NationalPetDay!Animals aren't just 'pets,' they're CO… http://t.co/0pwGvOpiU1, see more http://t.co/ueX0R8Tg5p",neutral,93
????Learn how to perform #CPR on ur #dog #cat so in case of emergency you can save their lives???? #NationalPetDay #pets http://t.co/54aZSSMd71,neutral,51
Major Mo Larsen 14 year old aussie #NationalPetDay http://t.co/7D5wPTU4M5,neutral,88
"Since today is #NationalPetDay, I wanna show off my two little girls. Love them so much. http://t.co/aCGPePy983",positive,78
RT @Elanco: Employees #celebratethebond with their pets. What does your pet mean to you? #NationalPetDay http://t.co/wbsCkUYFTH,neutral,85
S/O to NJ my guinea pig that I set free in the wild #NationalPetDay,positive,54
Happy #NationalPetDay to this little guy! #cat #biggie http://t.co/OuggAalfIG,neutral,52
"In honor of #NationalPetDay, we'll donate $1 for every online order from 4/11-4/30 #BeGenerous http://t.co/va9ejklOi9 http://t.co/dUOUsmxm50",neutral,89
Today is #NationalPetDay and we celebrate it with Lola ❤️ our #pug http://t.co/7QW6xrdp8S,neutral,60
I love this guy so much. He's a great dog and friend. #NationalPetDay http://t.co/lYR5k6Bq3q,positive,99
"RT @FagsyMalone: #NationalPetDay Steve, Fagsy & Howard Malone ... http://t.co/tKTR4qo0co",neutral,92
@instagram I cant say any of this. #VICEonHBO made #cctf #transpo #genderfluidproblems #NationalPetDay episode for #us #Infosec #edm #plur,negative,53
Today is National Pet Day! #pets #cats #nationalpetday https://t.co/9GhjPCmMrI,neutral,89
Happy #nationalpetday! Here's our sweet girl .. Eleanor Rigby! http://t.co/WXOhqnKG0W,positive,91
Happy National Pet Day! #nationalpetday #jinxbernese @laurabeth4you #jinx #berner #bmd… https://t.co/hrQi1cIZjg,positive,82
@gibson_beth guess you're not at the track. It's a beautiful day in the Carolinas! Cute dog. #NationalPetDay,positive,83
Happy #NationalPetDay to my boy Rocco!! http://t.co/ALsw81TCWK,positive,90
RT @AmandaJudge1: I sill miss you #NationalPetDay http://t.co/UBewytv2uE,neutral,58
Happy #NationalPetDay to me http://t.co/Diz2kkqJEK,positive,87
Happy. #NationalPetDay http://t.co/uWkYSQHKuq,positive,73
First day we got this little rascal #NationalPetDay http://t.co/r6DygOmdTj,neutral,89
Happy #NationalPetDay ????❤️ I need a pet! http://t.co/PsRmycsJIL,positive,74
RT @MsBaileyButton: Please RT & donate if you can spare anything #NationalPetDay http://t.co/W8yb7h57a1 http://t.co/HngK4z7hSd,neutral,80
"""Aw little Mikey"" #NationalPetDay https://t.co/5KtlMq6vnr",neutral,94
DMRegister: Happy #NationalPetDay! See where your pet's name ranks in our database: http://t.co/3qE908SaiK,positive,69
"RT @aaronsagers: It's #NationalPetDay so when you find yourself outside today picking up poop, turn to your fuzzy loved one and say, ""Thank…",positive,93
"For #NationalPetDay I plan to pet as many strangers as possible. Perhaps even include some heavy petting, if I feel the urge.",neutral,94
#NationalPetDay a cat boy here!! Lol :3,neutral,63
Days like the #NationalPetDay remind us that we should love and respect animals:),positive,97
#happy #nationalpetday to #bae. my #oneandonly https://t.co/zlqkkIPVRr,positive,88
Happy #NationalPetDay! Do you have any cute photos of your furry #family members? Share them with us in the... http://t.co/aPGdPVkfJY,positive,96
RT @PedigreeFound: Happy #NationalPetDay! http://t.co/mVcYMrxHgF,positive,90
RT @CityOfLasVegas: Happy #nationalpetday! Celebrate at one of our 10 dog parks today: http://t.co/Nslas4kxEX http://t.co/ZCgzDeQGaR,positive,98
Today is #NationalPetDay! Share your favorite pet picture with us. http://t.co/90bqT2hKSh,neutral,88
It's #NationalPetDay! This is one of the first pictures I took with Maya ♡ https://t.co/6iChtSofJq,neutral,75
RT @MinnieMaxPugs: Happy National Pet Day!#NationalPetDay #Pug http://t.co/C3Q96GgZNU,positive,94
RT @Kate_Springer: I'll take any excuse to post a pic of Penny pup. Happy #NationalPetDay! http://t.co/rDlzRn9RFW,positive,94
RT @Horseandpet: Happy National Pet Day! #familypetshows #nationalpetday http://t.co/cACixXP36d,positive,95
RT @MrSantana___: #NationalPetDay Roxie ???????????? http://t.co/WDGL9NSMjC,neutral,90
My children #nationalpetday #freddy #jason #freddyvsjason #catsofinsta #kitty #kittiesofinsta #Zura… https://t.co/GOib9aCiSN,neutral,94
RT @serial_jesus: Happy #NationalPetDay @chriscolfer http://t.co/iq1TH6Lk8h,positive,89
"RT @Petco: Whether your pet has fur, scales, fins or feathers, today's a day to celebrate. Happy #NationalPetDay! http://t.co/cyTYr2UMSU",positive,81
"RT @cathykaku1: Pets ????Are Not Ours ????To Steal or Kill ????@PETA 2014: Kills 1,536 of 1,606 Cats@StandforMayahttps://t.co/uUEagZbfnM #Na…",neutral,73
OMG it's #NationalPetDay,neutral,48
loves of my life #NationalPetDay http://t.co/O1m2zF62C8,positive,49
#NationalPetDay @Luk3po and misfit #love http://t.co/FOZuXo5ILp,positive,87
Happy #nationalpetday to the best dog ever!#dogsofinstagram #dogslife #instagood #mywestelm… https://t.co/u0shC9TXT6,positive,100
